prime,resonance,mod12,gap,nearest_target,distance
1091,0.000000,11,2,1024,67.0
1093,0.000000,1,4,1024,69.0
1097,0.000000,5,6,1024,73.0
1103,0.000000,11,6,1024,79.0
1109,0.000000,5,8,1024,85.0
1117,0.000000,1,6,1024,93.0
1123,0.000000,7,6,1024,99.0
1129,0.000000,1,22,1024,105.0
1151,0.000000,11,2,1024,127.0
1153,0.000000,1,10,1024,129.0
1163,0.000000,11,8,1024,139.0
1171,0.000000,7,10,1024,147.0
1181,0.000000,5,6,1331,150.0
1187,0.000000,11,6,1331,144.0
1193,0.000000,5,8,1331,138.0
1201,0.000000,1,12,1331,130.0
1213,0.000000,1,4,1331,118.0
1217,0.000000,5,6,1331,114.0
1223,0.000000,11,6,1331,108.0
1229,0.000000,5,2,1331,102.0
1231,0.000000,7,6,1331,100.0
1237,0.000000,1,12,1331,94.0
1249,0.000000,1,10,1331,82.0
1259,0.000000,11,18,1331,72.0
1277,0.000000,5,2,1331,54.0
1279,0.000000,7,4,1331,52.0
1283,0.000000,11,6,1331,48.0
1289,0.000000,5,2,1331,42.0
1291,0.000000,7,6,1331,40.0
1297,0.000010,1,4,1331,34.0
1301,0.000123,5,2,1331,30.0
1303,0.000394,7,4,1331,28.0
997,0.000682,1,12,1024,27.0
1051,0.000682,7,10,1024,27.0
283,0.000682,7,10,256,27.0
599,0.001159,11,2,625,26.0
1361,0.000123,5,6,1331,30.0
1367,0.000002,11,6,1331,36.0
1373,0.000000,5,8,1331,42.0
1381,0.000000,1,18,1331,50.0
1399,0.000000,7,10,1331,68.0
1409,0.000000,5,14,1331,78.0
1423,0.000000,7,4,1331,92.0
1427,0.000000,11,2,1331,96.0
1429,0.000000,1,4,1331,98.0
1433,0.000000,5,6,1331,102.0
1439,0.000000,11,8,1331,108.0
1447,0.000000,7,4,1331,116.0
1451,0.000000,11,2,1331,120.0
1453,0.000000,1,6,1331,122.0
1459,0.000000,7,12,1331,128.0
1471,0.000000,7,10,1331,140.0
1481,0.000000,5,2,1331,150.0
1483,0.000000,7,4,1331,152.0
1487,0.000000,11,2,1331,156.0
1489,0.000000,1,4,1331,158.0
1493,0.000000,5,6,1331,162.0
1499,0.000000,11,12,1331,168.0
1511,0.000000,11,12,1331,180.0
1523,0.000000,11,8,1331,192.0
1531,0.000000,7,12,1331,200.0
1543,0.000000,7,6,1331,212.0
1549,0.000000,1,4,1331,218.0
1553,0.000000,5,6,1331,222.0
1559,0.000000,11,8,1331,228.0
1567,0.000000,7,4,1331,236.0
1571,0.000000,11,8,1331,240.0
1579,0.000000,7,4,1331,248.0
1583,0.000000,11,14,1331,252.0
1597,0.000000,1,4,1331,266.0
1601,0.000000,5,6,1331,270.0
1607,0.000000,11,2,1331,276.0
1609,0.000000,1,4,1331,278.0
1613,0.000000,5,6,1331,282.0
1619,0.000000,11,2,1331,288.0
1621,0.000000,1,6,1331,290.0
1627,0.000000,7,10,1331,296.0
1637,0.000000,5,20,1331,306.0
1657,0.000000,1,6,1331,326.0
1663,0.000000,7,4,1331,332.0
1667,0.000000,11,2,1331,336.0
1669,0.000000,1,24,1331,338.0
1693,0.000000,1,4,1331,362.0
1697,0.000000,5,2,1331,366.0
1699,0.000000,7,10,1331,368.0
1709,0.000000,5,12,1331,378.0
1721,0.000000,5,2,1331,390.0
1723,0.000000,7,10,1331,392.0
1733,0.000000,5,8,1331,402.0
1741,0.000000,1,6,1331,410.0
1747,0.000000,7,6,1331,416.0
1753,0.000000,1,6,1331,422.0
1759,0.000000,7,18,2187,428.0
1777,0.000000,1,6,2187,410.0
