iteration,original,freq5,freq7,freq11,freq13,freq17,freq19,freq23,freq29,freq31
0,16622.800000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,18951.450000,297.676439,416.730562,654.784752,773.775423,1011.660424,1130.545365,1368.176658,1724.206785,1842.753601
2,19411.750000,609.737803,853.498121,1340.575954,1583.816554,2069.509074,2311.884297,2795.501308,3517.520982,3757.133886
3,19549.250000,920.895782,1288.795996,2023.092164,2389.227227,3118.820924,3482.020338,4204.579127,5276.895710,5630.753587
4,19604.600000,1230.983019,1722.287568,2701.323533,3188.436569,4156.314587,4636.468237,5587.688633,6987.312317,7445.417256
5,19629.700000,1540.128511,2154.051606,3374.916660,3980.653772,5179.748809,5771.923372,6938.605141,8635.873923,9185.321875
6,19641.900000,1848.466079,2584.173985,4043.532775,4765.109831,6186.933720,6885.160064,8251.281869,10210.200262,10835.373026
7,19647.750000,2156.032311,3012.604906,4706.624329,5540.794702,7175.392917,7972.659234,9519.419180,11697.952837,12380.712768
8,19650.650000,2462.879506,3439.316874,5363.682952,6306.750546,8142.749511,9031.042988,10737.004070,13087.566103,13807.528629
9,19652.000000,2768.991010,3864.186411,6014.055224,7061.855722,9086.451043,10056.773438,11897.967496,14367.883668,15102.697937
10,19652.700000,3074.359611,4287.103680,6657.114725,7805.028350,10004.038231,11046.456000,12996.563696,15528.679412,16254.366402
11,19653.000000,3378.922608,4707.881968,7292.122037,8535.063033,10892.940148,11996.617434,14027.124404,16560.412020,17251.714447
12,19653.100000,3682.623714,5126.344207,7918.360472,9250.791449,11750.686423,12903.945516,14984.358913,17454.634442,18085.408519
13,19653.250000,3985.429412,5542.345738,8535.171605,9951.124553,12574.964546,13765.355449,15863.443508,18204.132371,18747.758945
14,19653.300000,4287.234566,5955.643065,9141.753683,10634.818304,13363.327738,14577.673582,16659.668781,18802.548963,19232.344087
15,19653.300000,4587.971769,6366.046195,9737.397848,11300.750720,14113.551568,15338.032925,17368.911058,19244.959664,19534.612846
16,19653.300000,4887.576959,6773.370762,10321.414555,11947.836520,14823.528661,16043.760196,17987.509338,19527.741169,19651.748258
17,19653.300000,5185.976213,7177.419787,10893.106427,12574.996538,15491.234420,16692.341688,18512.235312,19648.547919,19582.640208
18,19653.300000,5483.095904,7577.997875,11451.790804,13181.184841,16114.764790,17281.467239,18940.350567,19606.377871,19327.943647
19,19653.300000,5778.862724,7974.911311,11996.800560,13765.390470,16692.341688,17809.038460,19269.620875,19401.580809,18890.072384
20,19653.300000,6073.203696,8367.968151,12527.484898,14326.639125,17222.318075,18273.176210,19498.327859,19035.855441,18273.176210
21,19653.300000,6366.046195,8756.978315,13043.210124,14863.994796,17703.182649,18672.227293,19625.277954,18512.235312,17483.101571
22,19653.300000,6657.317968,9141.753683,13543.360410,15376.561318,18133.564158,19004.770339,19649.808638,17835.063641,16527.336159
23,19653.300000,6946.947147,9522.108179,14027.338525,15863.483866,18512.235312,19269.620875,19571.791893,17009.957294,15414.937950
