iteration,original,freq5,freq7,freq11,freq13,freq17,freq19,freq23,freq29,freq31
33,1270360728.600000,629411235.020979,843094132.616560,1154503426.629267,1238889612.121603,1247105160.258254,1170582583.679453,872526745.723296,171089628.863986,-91712132.649492
34,1270360728.600000,646666223.800217,863786069.607844,1172127214.080757,1249330167.156043,1232410729.951409,1139057560.783152,803592291.778577,55855370.821453,-214479377.837316
35,1270360728.600000,663761657.365007,884060287.321076,1188351360.569551,1257687175.148043,1214201910.669997,1103475363.566622,730464090.934526,-59842185.045262,-335213960.011915
36,1270360728.600000,680693317.672921,903906981.324482,1203156492.788948,1263946698.853675,1192530627.370664,1063962731.170865,653523780.955319,-175043374.068143,-452771653.923860
37,1270360728.600000,697457027.090132,923316553.932961,1216524931.881856,1268098299.069240,1167458678.703195,1020660402.433847,573172894.047909,-288792648.742398,-566038342.315145
38,1270360728.600000,714048649.422182,942279618.849440,1228440714.551171,1270135052.041051,1139057560.783151,973722614.597131,489830761.366010,-400146504.608492,-673940574.626351
39,1270360728.600000,730464090.934526,960787005.704003,1238889612.121603,1270053561.012395,1107408263.310849,923316553.932962,403932324.625831,-508181306.241961,-775455740.297550
40,1270360728.600000,746699301.362601,978829764.488600,1247859147.530188,1267853961.888413,1072601038.618067,869621760.248590,315925866.254197,-612000948.437582,-869621760.248590
41,1270360728.600000,762750274.911166,996399169.885195,1255338610.225182,1263539923.009445,1034735144.301094,812829487.388921,226270669.914843,-710744289.041442,-955546204.690709
42,1270360728.600000,778613051.242675,1013486725.485248,1261319068.955574,1257118639.033223,993918560.174019,753142022.015282,135434623.622006,-803592291.778577,-1032414750.858193
43,1270360728.600000,794283716.454426,1030084167.898504,1265793382.435918,1248600818.936117,950267680.349413,690771963.086755,43891777.950072,-889774819.829281,-1099498900.504495
44,1270360728.600000,809758404.044264,1046183470.749100,1268756207.873767,1238000668.153435,903906981.324482,625941464.610429,-47880127.917645,-968577023.804116,-1156162884.022601
45,1270360728.600000,825033295.864580,1061776848.557039,1270204007.349517,1225335864.888583,854968667.019193,558881444.357840,-139402159.390040,-1039345271.131937,-1201869685.757953
46,1270360728.600000,840104623.064379,1076856760.503191,1270135052.041050,1210627530.630563,803592291.778577,489830761.366010,-230196685.907889,-1101492567.679035,-1236186133.410829
47,1270360728.600000,854968667.019193,1091415914.075955,1268549424.288129,1193900194.929004,749924362.414292,419035365.152747,-319789873.578118,-1154503426.629268,-1258787003.294960
48,1270360728.600000,869621760.248590,1105447268.597862,1265449017.494068,1175181754.485475,694117920.420267,346747419.676570,-407714157.994201,-1197938144.239764,-1269458102.546009
49,1270360728.600000,884060287.321076,1118944038.630379,1260837533.864822,1154503426.629267,636332105.553798,273224405.161606,-493510684.337695,-1231436447.006525,-1268098299.069240
50,1270360728.600000,898280685.746143,1131899697.255288,1254720479.988164,1131899697.255289,576731702.026609,198728200.986660,-576731702.026609,-1254720479.988164,-1254720479.988164
51,1270360728.600000,912279446.853265,1144307979.231047,1247105160.258254,1107408263.310849,515486668.599966,123524152.905040,-656942901.413548,-1267597111.500836,-1229451429.510745
52,1270360728.600000,926053116.657606,1156162884.022601,1238000668.153436,1081069969.927284,452771653.923860,47880127.917645,-733725680.338984,-1269959535.067833,-1192530627.370664
53,1270360728.600000,939598296.712242,1167458678.703195,1227417875.377686,1052928742.301252,388765498.502324,-27934439.834334,-806679328.711073,-1261788155.336330,-1144307979.231047
54,1270360728.600000,952911644.946676,1178189900.726759,1215369418.878677,1023031512.439306,323650724.705093,-103649508.758645,-875423119.711272,-1243150750.612954,-1085240500.560053
55,1270360728.600000,965989876.491442,1188351360.569551,1201869685.757953,991428140.887915,257613016.279922,-178995391.664865,-939598296.712242,-1214201910.669997,-1015887985.405903
56,1270360728.600000,978829764.488600,1197938144.239764,1186934796.091249,958171333.579473,190840688.849809,-253703716.354973,-998869945.538827,-1175181754.485475,-936907701.119187
57,1270360728.600000,991428140.887915,1206945615.653887,1170582583.679453,923316553.932962,123524152.905040,-327508381.530076,-1052928742.301253,-1126413938.552822,-849048159.301639
58,1270360728.600000,1003781897.228524,1215369418.878676,1152832574.753205,886921930.355872,55855370.821453,-400146504.608491,-1101492567.679034,-1068302972.280525,-753142022.015282
59,1270360728.600000,1015887985.405903,1223205480.237646,1133705964.656563,849048159.301639,-11972690.546721,-471359358.079187,-1144307979.231047,-1001330862.749356,-650098210.481210
60,1270360728.600000,1027743418.423940,1230450010.281059,1113225592.537570,809758404.044264,-79766610.138432,-540893291.055398,-1181151534.048146,-926053116.657606,-540893291.055398
61,1270360728.600000,1039345271.131937,1237099505.618474,1091415914.075955,769118189.338945,-147333064.252606,-608500632.745962,-1211830954.845751,-843094132.616559,-426562220.118351
62,1270360728.600000,1050690680.946339,1243150750.612953,1068302972.280525,727195292.144391,-214479377.837317,-673940574.626351,-1236186133.410829,-753142022.015282,-308188535.591053
63,1270360728.600000,1061776848.557039,1248600818.936117,1043914366.391120,684059628.589066,-281014073.929235,-736980028.167193,-1254089966.166560,-656942901.413548,-186894088.034171
64,1270360728.600000,1072601038.618067,1253447074.983286,1018279218.922272,639783137.369870,-346747419.676570,-797394455.065181,-1265449017.494068,-555294703.805226,-63828408.650863
65,1270360728.600000,1083160580.422488,1257687175.148043,991428140.887915,594439659.777724,-411491967.388433,-854968667.019193,-1270204007.349517,-449040560.085189,59842185.045261
66,1270360728.600000,1093452868.561371,1261319068.955574,963393195.248672,548104816.550138,-475063089.067750,-909497592.202935,-1268330120.631807,-339061805.617822,182945642.649334
67,1270360728.600000,1103475363.566622,1264341000.054264,934207858.625367,500855881.756132,-537279502.903434,-960787005.704003,-1259837136.686376,-226270669.914843,304315288.616160
68,1270360728.600000,1113225592.537570,1266751507.065048,903906981.324482,452771653.923860,-597963790.220438,-1008654221.327668,-1244769378.269243,-111602710.058584,422800879.072542
69,1270360728.600000,1122701149.751111,1268549424.288129,872526745.723296,403932324.625831,-656942901.413549,-1052928742.301252,-1223205480.237646,3990949.367522,537279502.903434
70,1270360728.600000,1131899697.255288,1269733882.266690,840104623.064380,354419344.740915,-714048649.422182,-1093452868.561371,-1195257979.174418,119551505.474625,646666223.800217
71,1270360728.600000,1140818965.446147,1270304308.207366,806679328.711073,304315288.616162,-769118189.338945,-1130082258.460969,-1161072726.087748,234120429.952581,749924362.414292
72,1270360728.600000,1149456753.627723,1270260426.257233,772290775.917334,253703716.354974,-821994482.784333,-1162686442.895428,-1120828125.251295,346747419.676570,846075321.170022
73,1270360728.600000,1157810930.555032,1269602257.637212,736980028.167193,202669034.461309,-872526745.723296,-1191149290.016476,-1074734203.156977,456498279.089099,934207858.625367
74,1270360728.600000,1165879434.959923,1268330120.631807,700789250.140714,151296355.072310,-920570878.446688,-1215369418.878676,-1023031512.439306,562462668.976227,1013486725.485247
75,1270360728.600000,1173660276.059666,1266444630.435186,663761657.365008,99671354.014122,-965989876.491442,-1235260560.545116,-965989876.491442,663761657.365008,1083160580.422488
76,1270360728.600000,1181151534.048147,1263946698.853676,625941464.610429,47880127.917645,-1008654221.327669,-1250751865.366095,-903906981.324482,759555009.910521,1142569110.686521
77,1270360728.600000,1188351360.569551,1260837533.864822,587373833.093578,-3990949.367522,-1048442249.698585,-1261788155.336330,-837106822.018734,849048159.301639,1191149290.016476
78,1270360728.600000,1195257979.174418,1257118639.033223,548104816.550138,-55855370.821455,-1085240500.560053,-1268330120.631807,-765938011.874534,931498795.877137,1228440714.551171
79,1270360728.600000,1201869685.757953,1252791812.783419,508181306.241961,-107626640.524360,-1118944038.630379,-1270354459.626237,-690771963.086754,1006223024.785609,1254089966.166560
80,1270360728.600000,1208184848.980489,1247859147.530188,467650974.964057,-159218417.908544,-1149456753.627723,-1267853961.888413,-612000948.437583,1072601038.618067,1267853961.888413
81,1270360728.600000,1214201910.669997,1242323028.666673,426562220.118351,-210544661.751270,-1176691634.341808,-1260837533.864822,-530036054.123115,1130082258.460969,1269602257.637212
82,1270360728.600000,1219919386.206541,1236186133.410830,384964105.922189,-261519773.668403,-1200571016.758373,-1249330167.156043,-445305034.397473,1178189900.726759,1259318284.472198
83,1270360728.600000,1225335864.888583,1229451429.510745,342906304.820592,-312058740.869521,-1221026805.528813,-1233372849.499933,-358250079.230481,1216524931.881856,1237099505.618474
84,1270360728.600000,1230450010.281059,1222122173.809462,300439038.172228,-362077277.936394,-1238000668.153436,-1213022418.778653,-269325506.628962,1244769378.269243,1203156492.788948
85,1270360728.600000,1235260560.545116,1214201910.669997,257613016.279923,-411491967.388433,-1251444201.324634,-1188351360.569551,-178995391.664866,1262688963.571995,1157810930.555032
86,1270360728.600000,1239766328.749460,1205694470.261322,214479377.837316,-460220398.800619,-1261319068.955574,-1159447549.961005,-87731144.583687,1270135052.041051,1101492567.679034
87,1270360728.600000,1243966203.163206,1196603966.706122,171089628.863987,-508181306.241961,-1267597111.500836,-1126413938.552822,3990949.367522,1267045881.368944,1034735144.301094
88,1270360728.600000,1247859147.530188,1186934796.091249,127495581.201935,-555294703.805227,-1270260426.257233,-1089368187.756090,95692215.553575,1253447074.983286,958171333.579473
89,1270360728.600000,1251444201.324634,1176691634.341808,83749290.646904,-601482019.001948,-1269301418.415835,-1048442249.698586,186894088.034170,1229451429.510745,872526745.723294
90,1270360728.600000,1254720479.988164,1165879434.959922,39902994.788371,-646666223.800218,-1264722822.719616,-1003781897.228525,277120607.079677,1195257979.174418,778613051.242674
91,1270360728.600000,1257687175.148043,1154503426.629268,-3990949.367523,-690771963.086755,-1256537695.664956,-955546204.690710,365900903.085750,1151150344.885046,677320288.588538
92,1270360728.600000,1260343554.816631,1142569110.686522,-47880127.917645,-733725680.338984,-1244769378.269243,-903906981.324482,452771653.923859,1097494381.719692,569608429.084144
93,1270360728.600000,1262688963.571994,1130082258.460969,-91712132.649492,-775455740.297550,-1229451429.510745,-849048159.301639,537279502.903434,1034735144.301094,456498279.089099
94,1270360728.600000,1264722822.719616,1117048908.483538,-135434623.622006,-815892548.434690,-1210627530.630562,-791165138.584055,618983424.726874,963393195.248672,339061805.617821
95,1270360728.600000,1266444630.435186,1103475363.566622,-178995391.664865,-854968667.019193,-1188351360.569551,-730464090.934526,697457027.090131,884060287.321076,218411977.098493
96,1270360728.600000,1267853961.888413,1089368187.756089,-222342420.721632,-892618927.584434,-1162686442.895427,-667161225.559867,772290775.917334,797394455.065181,95692215.553576
97,1270360728.600000,1268950469.347851,1074734203.156977,-265423949.962298,-928780539.611853,-1133705964.656562,-601482019.001948,843094132.616559,704114556.684318,-27934439.834335
98,1270360728.600000,1269733882.266690,1059580486.634375,-308188535.591053,-963393195.248673,-1101492567.679034,-533660412.019684,909497592.202935,604994311.398758,-151296355.072310
99,1270360728.600000,1270204007.349517,1043914366.391120,-350585112.275502,-996399169.885196,-1066138112.902073,-463937976.322602,971154611.652596,500855881.756132,-273224405.161605
100,1270360728.600000,1270360728.600000,1027743418.423940,-392563054.123940,-1027743418.423940,-1027743418.423939,-392563054.123941,1027743418.423940,392563054.123940,-392563054.123940
101,1270360728.600000,1270204007.349517,1011075462.859773,-434072235.137894,-1057373667.080077,-986417972.005229,-319789873.578119,1078968689.707922,281014073.929236,-508181306.241960
102,1270360728.600000,1269733882.266691,993918560.174019,-475063089.067749,-1085240500.560053,-942279618.849441,-245877643.253234,1124563093.643831,167134195.074263,-618983424.726874
103,1270360728.600000,1268950469.347851,976281007.292566,-515486668.599965,-1111297444.473027,-895454225.551137,-171089628.863986,1164288684.457311,51868005.327685,-723919316.230303
104,1270360728.600000,1267853961.888413,958171333.579473,-555294703.805227,-1135501042.837661,-846075321.170022,-95692215.553575,1197938144.239764,-63828408.650863,-821994482.784332
105,1270360728.600000,1266444630.435186,939598296.712243,-594439659.777724,-1157810930.555032,-794283716.454426,-19953959.064596,1225335864.888583,-178995391.664865,-912279446.853265
106,1270360728.600000,1264722822.719616,920570878.446687,-632874793.396743,-1178189900.726759,-740227102.300055,55855370.821454,1246338864.561865,-292677679.934611,-993918560.174018
107,1270360728.600000,1262688963.571994,901098280.273432,-670554209.142774,-1196603966.706122,-684059628.589065,131465751.168915,1260837533.864822,-403932324.625833,-1066138112.902072
108,1270360728.600000,1260343554.816632,881189918.968153,-707432913.901508,-1213022418.778653,-625941464.610429,206607867.674410,1268756207.873767,-511836513.230836,-1128253666.210991
109,1270360728.600000,1257687175.148043,860855422.037713,-743466870.690260,-1227417875.377686,-566038342.315145,281014073.929234,1270053561.012395,-615495223.926916,-1179676538.853044
110,1270360728.600000,1254720479.988164,840104623.064380,-778613051.242674,-1239766328.749460,-504521083.708752,354419344.740914,1264722822.719616,-714048649.422182,-1219919386.206540
111,1270360728.600000,1251444201.324634,818947556.950393,-812829487.388920,-1250047184.991595,-441565113.728845,426562220.118349,1252791812.783419,-806679328.711074,-1248600818.936117
112,1270360728.600000,1247859147.530188,797394455.065181,-846075321.170022,-1258243298.398192,-377349959.996697,497185736.558161,1234322796.156366,-892618927.584433,-1265449017.494068
113,1270360728.600000,1243966203.163206,775455740.297550,-878310853.626481,-1264341000.054263,-312058740.869518,566038342.315145,1209412158.010396,-971154611.652597,-1270304308.207366
114,1270360728.600000,1239766328.749460,753142022.015282,-909497592.202935,-1268330120.631807,-245877643.253234,632874793.396743,1178189900.726758,-1041634959.019789,-1263120676.536288
115,1270360728.600000,1235260560.545116,730464090.934526,-939598296.712242,-1270204007.349517,-178995391.664865,697457027.090131,1140818965.446148,-1103475363.566622,-1243966203.163206
116,1270360728.600000,1230450010.281059,707432913.901509,-968577023.804116,-1269959535.067833,-111602710.058584,759555009.910520,1097494381.719693,-1156162884.022601,-1213022418.778652
117,1270360728.600000,1225335864.888584,684059628.589066,-996399169.885195,-1267597111.500836,-43891777.950071,818947556.950393,1048442249.698585,-1199260498.607549,-1170582583.679453
118,1270360728.600000,1219919386.206541,660355538.110560,-1023031512.439306,-1263120676.536288,23944317.609840,875423119.711272,993918560.174018,-1232410729.951409,-1117048908.483539
119,1270360728.600000,1214201910.669997,636332105.553798,-1048442249.698585,-1256537695.664956,91712132.649494,928780539.611852,934207858.625367,-1255338610.225182,-1052928742.301253
120,1270360728.600000,1208184848.980489,612000948.437582,-1072601038.618066,-1247859147.530188,159218417.908544,978829764.488600,869621760.248591,-1267853961.888413,-978829764.488600
121,1270360728.600000,1201869685.757953,587373833.093577,-1095479031.108418,-1237099505.618474,226270669.914843,1025392525.536752,800497323.714585,-1269852975.135364,-895454225.551138
122,1270360728.600000,1195257979.174418,562462668.976226,-1117048908.483538,-1224276714.121568,292677679.934611,1068302972.280524,727195292.144392,-1261319068.955574,-803592291.778577
123,1270360728.600000,1188351360.569551,537279502.903434,-1137284914.081887,-1209412158.010395,358250079.230481,1107408263.310849,650098210.481210,-1242323028.666673,-704114556.684318
124,1270360728.600000,1181151534.048146,511836513.230838,-1156162884.022601,-1192530627.370664,422800879.072543,1142569110.686521,569608429.084144,-1213022418.778652,-597963790.220436
125,1270360728.600000,1173660276.059665,486146003.962464,-1173660276.059665,-1173660276.059665,486146003.962465,1173660276.059665,486146003.962465,-1173660276.059665,-486146003.962465
126,1270360728.600000,1165879434.959922,460220398.800619,-1189756196.499681,-1152832574.753205,548104816.550138,1200571016.758373,400146504.608493,-1124563093.643830,-369720916.940916
127,1270360728.600000,1157810930.555031,434072235.137895,-1204431425.151093,-1130082258.460969,608500632.745962,1223205480.237646,312058740.869521,-1066138112.902074,-249791912.476769
128,1270360728.600000,1149456753.627723,407714157.994201,-1217668438.275089,-1105447268.597862,667161225.559867,1241483045.493645,222342420.721632,-998869945.538826,-127495581.201936
129,1270360728.600000,1140818965.446147,381158913.901743,-1229451429.510745,-1078968689.707922,723919316.230304,1255338610.225182,131465751.168916,-923316553.932961,-3990949.367525
130,1270360728.600000,1131899697.255289,354419344.740915,-1239766328.749460,-1050690680.946338,778613051.242675,1264722822.719616,39902994.788370,-840104623.064381,119551505.474624
131,1270360728.600000,1122701149.751110,327508381.530076,-1248600818.936117,-1020660402.433846,831086463.876930,1269602257.637212,-51868005.327685,-749924362.414292,241960947.316622
132,1270360728.600000,1113225592.537570,300439038.172228,-1255944350.776917,-988927936.606316,881189918.968154,1269959535.067833,-143368319.315036,-653523780.955319,362077277.936391
133,1270360728.600000,1103475363.566622,273224405.161606,-1261788155.336330,-955546204.690710,928780539.611853,1265793382.435918,-234120429.952580,-551702482.718067,478762131.375412
134,1270360728.600000,1093452868.561371,245877643.253234,-1266125254.508106,-920570878.446687,973722614.597131,1257118639.033224,-323650724.705093,-445305034.397474,590909662.455554
135,1270360728.600000,1083160580.422489,218411977.098493,-1268950469.347851,-884060287.321075,1015887985.405903,1243966203.163206,-411491967.388433,-335213960.011915,697457027.090133
136,1270360728.600000,1072601038.618067,190840688.849809,-1270260426.257233,-846075321.170022,1055156411.674566,1226382922.085300,-497185736.558162,-222342420.721632,797394455.065180
137,1270360728.600000,1061776848.557039,163177111.737512,-1270053561.012395,-806679328.711072,1091415914.075955,1204431425.151094,-580284817.896244,-107626640.524358,889774819.829280
138,1270360728.600000,1050690680.946339,135434623.622006,-1268330120.631807,-765938011.874533,1124563093.643831,1178189900.726759,-660355538.110560,7981859.345986,973722614.597131
139,1270360728.600000,1039345271.131937,107626640.524360,-1265092163.081298,-723919316.230303,1154503426.629267,1147751817.696295,-736980028.167192,123524152.905041,1048442249.698585
140,1270360728.600000,1027743418.423940,79766610.138432,-1260343554.816631,-680693317.672921,1181151534.048147,1113225592.537569,-809758404.044264,238041863.323148,1113225592.537569
141,1270360728.600000,1015887985.405902,51868005.327686,-1254089966.166560,-636332105.553798,1204431425.151094,1074734203.156978,-878310853.626482,350585112.275506,1167458678.703195
142,1270360728.600000,1003781897.228524,23944317.609839,-1246338864.561865,-590909662.455555,1224276714.121569,1032414750.858193,-942279618.849438,460220398.800619,1210627530.630562
143,1270360728.600000,991428140.887915,-3990949.367522,-1237099505.618474,-544501740.808946,1240630809.384165,986417972.005231,-1001330862.749355,566038342.315145,1242323028.666673
144,1270360728.600000,978829764.488600,-31924286.357186,-1226382922.085300,-497185736.558162,1253447074.983286,936907701.119187,-1055156411.674564,667161225.559868,1262244788.377399
145,1270360728.600000,965989876.491442,-59842185.045262,-1214201910.669998,-449040560.085187,1262688963.571995,884060287.321078,-1103475363.566622,762750274.911165,1270204007.349517
146,1270360728.600000,952911644.946675,-87731144.583687,-1200571016.758373,-400146504.608491,1268330120.631807,828063966.199277,-1146035553.917792,852012617.670699,1266125254.508106
147,1270360728.600000,939598296.712243,-115577678.119115,-1185506517.045695,-350585112.275502,1270354459.626237,769118189.338945,-1182614871.754457,934207858.625367,1250047184.991595
148,1270360728.600000,926053116.657606,-143368319.315039,-1169026400.100631,-300439038.172227,1268756207.873767,707432913.901509,-1213022418.778652,1008654221.327670,1222122173.809462
149,1270360728.600000,912279446.853265,-171089628.863986,-1151150344.885047,-249791912.476768,1263539923.009445,643227854.784667,-1237099505.618474,1074734203.156977,1182614871.754457
150,1270360728.600000,898280685.746143,-198728200.986659,-1131899697.255289,-198728200.986659,1254720479.988164,576731702.026610,-1254720479.988164,1131899697.255289,1131899697.255289
151,1270360728.600000,884060287.321076,-226270669.914843,-1111297444.473026,-147333064.252605,1242323028.666672,508181306.241960,-1265793382.435918,1179676538.853045,1070457287.939932
152,1270360728.600000,869621760.248590,-253703716.354974,-1089368187.756090,-95692215.553574,1226382922.085299,437820834.990815,-1270260426.257233,1217668438.275090,998869945.538827
153,1270360728.600000,854968667.019193,-281014073.929235,-1066138112.902074,-43891777.950071,1206945615.653886,365900903.085750,-1268098299.069240,1245560268.004050,917816117.297493
154,1270360728.600000,840104623.064380,-308188535.591054,-1041634959.019789,7981859.345987,1184066537.529425,292677679.934611,-1259318284.472198,1263120676.536288,828063966.199277
155,1270360728.600000,825033295.864581,-335213960.011916,-1015887985.405903,59842185.045262,1157810930.555031,218411977.098493,-1243966203.163206,1270204007.349517,730464090.934527
156,1270360728.600000,809758404.044265,-362077277.936394,-988927936.606317,111602710.058585,1128253666.210991,143368319.315041,-1222122173.809462,1266751507.065048,625941464.610431
157,1270360728.600000,794283716.454426,-388765498.502324,-960787005.704003,163177111.737512,1095479031.108418,67814002.295839,-1193900194.929005,1252791812.783419,515486668.599966
158,1270360728.600000,778613051.242674,-415265715.523071,-931498795.877137,214479377.837317,1059580486.634375,-7981859.345984,-1159447549.961004,1228440714.551171,400146504.608493
159,1270360728.600000,762750274.911167,-441565113.728845,-901098280.273432,265423949.962299,1020660402.433847,-83749290.646903,-1118944038.630379,1193900194.929004,281014073.929238
160,1270360728.600000,746699301.362601,-467650974.964057,-869621760.248590,315925866.254197,978829764.488600,-159218417.908545,-1072601038.618067,1149456753.627722,159218417.908543
161,1270360728.600000,730464090.934526,-493510684.337695,-837106822.018734,365900903.085751,934207858.625367,-234120429.952580,-1020660402.433847,1095479031.108418,35913817.800219
162,1270360728.600000,714048649.422182,-519131736.323785,-803592291.778578,415265715.523072,886921930.355872,-308188535.591054,-963393195.248672,1032414750.858193,-87731144.583687
163,1270360728.600000,697457027.090132,-544501740.808947,-769118189.338946,463937976.322602,837106822.018733,-381158913.901742,-901098280.273432,960787005.704001,-210544661.751270
164,1270360728.600000,680693317.672921,-569608429.084145,-733725680.338984,511836513.230838,784904588.257950,-452771653.923861,-834100759.066707,881189918.968154,-331362805.979555
165,1270360728.600000,663761657.365007,-594439659.777725,-697457027.090132,558881444.357840,730464090.934525,-522771680.426946,-762750274.911167,794283716.454425,-449040560.085189
166,1270360728.600000,646666223.800218,-618983424.726875,-660355538.110561,604994311.398760,673940574.626351,-590909662.455556,-687419188.112844,700789250.140713,-562462668.976226
167,1270360728.600000,629411235.020979,-643227854.784666,-622465516.410326,650098210.481210,615495223.926914,-656942901.413547,-608500632.745963,601482019.001947,-670554209.142774
168,1270360728.600000,612000948.437582,-667161225.559867,-583832206.589000,694117920.420267,555294703.805225,-720636195.524823,-526406464.984677,497185736.558162,-772290775.917332
169,1270360728.600000,594439659.777725,-690771963.086754,-544501740.808947,736980028.167194,493510684.337695,-781762677.591320,-441565113.728845,388765498.502324,-866708191.958194
170,1270360728.600000,576731702.026609,-714048649.422182,-504521083.708753,778613051.242675,430319351.167257,-840104623.064379,-354419344.740917,277120607.079676,-952911644.946673
171,1270360728.600000,558881444.357840,-736980028.167193,-463937976.322602,818947556.950394,365900903.085750,-895454225.551138,-265423949.962299,163177111.737510,-1030084167.898504
172,1270360728.600000,540893291.055398,-759555009.910520,-422800879.072542,857916278.172109,300439038.172228,-947614336.993782,-175043374.068143,47880127.917645,-1097494381.719694
173,1270360728.600000,522771680.426948,-781762677.591322,-381158913.901744,895454225.551138,234120429.952580,-996399169.885196,-83749290.646905,-67814002.295839,-1154503426.629267
