iteration,original,freq5,freq7,freq11,freq13,freq17,freq19,freq23,freq29,freq31
0,116.650000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,100.650000,1.580941,2.213231,3.477522,4.109474,5.372867,6.004258,7.266303,9.157158,9.786752
2,95.000000,2.984022,4.176971,6.560702,7.751108,10.128060,11.314230,13.681024,17.214548,18.387199
3,91.950000,4.331438,6.061859,9.515625,11.237743,14.669391,16.377701,19.776260,24.819907,26.484279
4,90.950000,5.710798,7.990066,12.532027,14.791850,19.282047,21.509584,25.922502,32.415660,34.540909
5,90.300000,7.084856,9.909008,15.525198,18.311693,23.827736,26.551841,31.918778,39.726507,42.254062
6,89.800000,8.450927,11.814479,18.486462,21.785411,28.285789,31.477982,37.723698,46.679597,49.537799
7,89.800000,9.854141,13.769104,21.511617,25.324191,32.795118,36.439022,43.508485,53.465469,56.586022
8,89.800000,11.254924,15.717071,24.511084,28.820736,37.210927,41.270271,49.066212,59.807866,63.097967
9,89.750000,12.645886,17.647605,27.465981,32.251249,41.497506,45.928934,54.337603,65.617625,68.973496
10,89.750000,14.039993,19.578356,30.401728,35.644023,45.686467,50.446983,59.352740,70.916412,74.230482
11,89.700000,15.422040,21.487662,33.282621,38.955638,49.717434,54.754825,64.022442,75.584845,78.740080
12,89.700000,16.808104,23.397483,36.140707,42.222143,53.632077,58.895742,68.391093,79.665839,82.544797
13,89.700000,18.190020,25.295990,38.955638,45.418232,57.393781,62.826880,72.402828,83.086038,85.567221
14,89.700000,19.567449,27.182264,41.724052,48.538576,60.991818,66.534237,76.036711,85.817071,87.778707
15,89.700000,20.940049,29.055392,44.442643,51.577971,64.415929,70.004608,79.273777,87.836286,89.158298
16,89.700000,22.307483,30.914470,47.108164,54.531348,67.656349,73.225631,82.097133,89.126935,89.692918
17,89.700000,23.669413,32.758598,49.717434,57.393781,70.703837,76.185834,84.492045,89.678311,89.377500
18,89.700000,25.025502,34.586884,52.267336,60.160496,73.549704,78.874673,86.446014,89.485842,88.215035
19,89.700000,26.375417,36.398444,54.754825,62.826880,76.185834,81.282571,87.948843,88.551124,86.216538
20,89.700000,27.718824,38.192402,57.176932,65.388486,78.604709,83.400951,88.992689,86.881910,83.400951
