torus_id,frequency,period,amplitude,phase,major_radius,minor_radius,center_k,k_min,k_max,confidence
1,0.494141,2,3031515639.919040,2.473028,3031515639.919040,1515757819.959520,131187973.568200,-2900327666.350840,3162703613.487240,27.7343
2,0.373047,2,1817504956.107735,-1.961215,1817504956.107735,908752478.053867,131187973.568200,-1686316982.539535,1948692929.675935,9.9689
3,0.464844,2,1335915321.911749,1.375757,1335915321.911749,667957660.955875,131187973.568200,-1204727348.343549,1467103295.479949,5.3859
4,0.488281,2,1296864514.442935,0.328638,1296864514.442935,648432257.221467,131187973.568200,-1165676540.874735,1428052488.011134,5.0756
5,0.435547,2,1161680321.292043,-0.109781,1161680321.292043,580840160.646021,131187973.568200,-1030492347.723843,1292868294.860243,4.0726
