torus_id,frequency,period,amplitude,phase,major_radius,minor_radius,center_k,k_min,k_max,confidence
1,0.496094,2,290.884783,1.729217,290.884783,145.442391,10.321200,-280.563583,301.205983,45.1934
2,0.373047,2,191.155791,-1.502273,191.155791,95.577896,10.321200,-180.834591,201.476991,19.5168
3,0.435547,2,149.531138,0.355121,149.531138,74.765569,10.321200,-139.209938,159.852338,11.9425
4,0.488281,2,134.364712,0.872361,134.364712,67.182356,10.321200,-124.043512,144.685912,9.6428
5,0.466797,2,108.189677,1.437389,108.189677,54.094838,10.321200,-97.868477,118.510877,6.2518
