sample_id,true_k,num_tori,intersection_size,reduction_factor,contains_true_k,tightest_torus_size
0,85899345,20,635916517.163779,6.753980,1,635916517.163779
1,128849018,20,4294967295.000000,1.000000,1,4294967295.000000
2,214748364,20,4038151589.726666,1.063597,1,4038151589.726666
3,300647710,20,1836317871.619140,2.338902,1,1836317871.619140
4,472446402,20,4073179276.267966,1.054451,1,4073179276.267966
5,558345748,20,4141578986.730171,1.037036,1,4141578986.730171
6,730144440,20,1781799980.257599,2.410465,1,1781799980.257599
7,816043786,20,2200572452.258652,1.951750,1,2200572452.258652
8,987842477,20,1799808235.931325,2.386347,1,1799808235.931325
9,1245540515,20,4294967295.000000,1.000000,1,4294967295.000000
10,1331439861,20,3207391113.029494,1.339084,1,3207391113.029494
11,1589137899,20,4294967295.000000,1.000000,1,4294967295.000000
12,1760936590,20,4294967295.000000,1.000000,1,4294967295.000000
13,1846835936,20,3201381677.938304,1.341598,1,3201381677.938304
14,2018634628,20,3834218790.377704,1.120168,1,3834218790.377704
15,2276332666,20,4294967295.000000,1.000000,1,4294967295.000000
16,2534030704,20,3976486117.860901,1.080091,1,3976486117.860901
17,2619930049,20,4294967295.000000,1.000000,1,4294967295.000000
18,2877628087,20,4072281255.580263,1.054683,1,4072281255.580263
19,3049426779,20,4294967295.000000,1.000000,1,4294967295.000000
