torus_id,frequency,period,amplitude,phase,major_radius,minor_radius,center_k,k_min,k_max,confidence
1,0.499023,2,662395.469536,-0.819453,662395.469536,331197.734768,19651.213850,-642744.255686,682046.683386,568.0944
2,0.497559,2,346712.044655,-0.137048,346712.044655,173356.022328,19651.213850,-327060.830805,366363.258505,155.6409
3,0.374512,2,312319.629199,1.944314,312319.629199,156159.814600,19651.213850,-292668.415349,331970.843049,126.2945
4,0.495605,2,297668.526192,-0.456841,297668.526192,148834.263096,19651.213850,-278017.312342,317319.740042,114.7233
5,0.437012,2,296452.717535,-2.958804,296452.717535,148226.358767,19651.213850,-276801.503685,316103.931385,113.7880
