torus_id,frequency,period,amplitude,phase,major_radius,minor_radius,center_k,k_min,k_max,confidence
1,0.494141,2,55606.229098,2.231788,55606.229098,27803.114549,1996.292000,-53609.937098,57602.521098,39.5512
2,0.373047,2,32282.970813,-2.291622,32282.970813,16141.485407,1996.292000,-30286.678813,34279.262813,13.3309
3,0.488281,2,26295.266543,0.113504,26295.266543,13147.633271,1996.292000,-24298.974543,28291.558543,8.8444
4,0.464844,2,25914.925755,1.228109,25914.925755,12957.462878,1996.292000,-23918.633755,27911.217755,8.5904
5,0.435547,2,23612.078027,-0.054253,23612.078027,11806.039014,1996.292000,-21615.786027,25608.370027,7.1315
