sample_id,true_k,num_tori,intersection_size,reduction_factor,contains_true_k,tightest_torus_size
0,1310,20,61609.016164,1.063724,1,61609.016164
1,1966,20,43079.816978,1.521246,1,43079.816978
2,3276,20,55885.856998,1.172658,1,55885.856998
3,4587,20,43862.982060,1.494084,1,43862.982060
4,7208,20,31355.290642,2.090078,1,31355.290642
5,8519,20,63057.698408,1.039286,1,63057.698408
6,11140,20,60234.861629,1.087991,1,60234.861629
7,12451,20,33547.005376,1.953528,1,33547.005376
8,15073,20,65535.000000,1.000000,1,65535.000000
9,19005,20,28948.420665,2.263854,1,28948.420665
10,20315,20,45469.474535,1.441297,1,45469.474535
11,24247,20,65535.000000,1.000000,1,65535.000000
12,26869,20,65535.000000,1.000000,1,65535.000000
13,28180,20,65535.000000,1.000000,1,65535.000000
14,30801,20,65289.575454,1.003759,1,65289.575454
15,34733,20,44479.760421,1.473367,1,44479.760421
16,38665,20,34906.786508,1.877429,0,34906.786508
17,39976,20,59414.402972,1.103015,1,59414.402972
18,43908,20,57073.513936,1.148256,1,57073.513936
19,46529,20,65535.000000,1.000000,1,65535.000000
