torus_id,frequency,period,amplitude,phase,major_radius,minor_radius,center_k,k_min,k_max,confidence
1,0.499023,2,662395.469536,-0.819453,662395.469536,331197.734768,19651.213850,-642744.255686,682046.683386,568.0944
2,0.497559,2,346712.044655,-0.137048,346712.044655,173356.022328,19651.213850,-327060.830805,366363.258505,155.6409
3,0.374512,2,312319.629199,1.944314,312319.629199,156159.814600,19651.213850,-292668.415349,331970.843049,126.2945
4,0.495605,2,297668.526192,-0.456841,297668.526192,148834.263096,19651.213850,-278017.312342,317319.740042,114.7233
5,0.437012,2,296452.717535,-2.958804,296452.717535,148226.358767,19651.213850,-276801.503685,316103.931385,113.7880
6,0.468262,2,212821.794674,-1.416804,212821.794674,106410.897337,19651.213850,-193170.580824,232473.008524,58.6432
7,0.491699,2,210809.341126,-0.535348,210809.341126,105404.670563,19651.213850,-191158.127276,230460.554976,57.5394
8,0.249023,4,180791.301849,-0.099512,180791.301849,90395.650924,19651.213850,-161140.087999,200442.515699,42.3195
9,0.483887,2,117456.041598,-0.459864,117456.041598,58728.020799,19651.213850,-97804.827748,137107.255448,17.8623
10,0.187012,5,116435.898035,3.012819,116435.898035,58217.949017,19651.213850,-96784.684185,136087.111885,17.5533
11,0.429199,2,114256.184551,-2.086899,114256.184551,57128.092275,19651.213850,-94604.970701,133907.398401,16.9023
12,0.218262,4,104685.331946,-1.852701,104685.331946,52342.665973,19651.213850,-85034.118096,124336.545796,14.1892
13,0.343262,2,100958.640379,2.373440,100958.640379,50479.320189,19651.213850,-81307.426529,120609.854229,13.1969
14,0.247559,4,96632.906125,0.672860,96632.906125,48316.453062,19651.213850,-76981.692275,116284.119975,12.0903
15,0.464355,2,95037.005626,-1.427089,95037.005626,47518.502813,19651.213850,-75385.791776,114688.219476,11.6942
16,0.421387,2,83623.741308,-3.062131,83623.741308,41811.870654,19651.213850,-63972.527458,103274.955158,9.0541
17,0.372559,2,81778.647652,0.001142,81778.647652,40889.323826,19651.213850,-62127.433802,101429.861502,8.6590
18,0.124023,8,75541.067705,1.145093,75541.067705,37770.533852,19651.213850,-55889.853855,95192.281555,7.3884
19,0.245605,4,73738.244441,0.083749,73738.244441,36869.122220,19651.213850,-54087.030591,93389.458291,7.0400
20,0.358887,2,72826.093809,-2.850093,72826.093809,36413.046905,19651.213850,-53174.879959,92477.307659,6.8669
