torus_id,frequency,period,amplitude,phase,major_radius,minor_radius,center_k,k_min,k_max,confidence
1,0.499023,2,42858255358.173363,-0.819097,42858255358.173363,21429127679.086681,1270128343.048498,-41588127015.124863,44128383701.221863,569.2852
2,0.497559,2,22379967732.905983,-0.140127,22379967732.905983,11189983866.452991,1270128343.048498,-21109839389.857487,23650096075.954479,155.2315
3,0.374512,2,20207590163.252560,1.942583,20207590163.252560,10103795081.626280,1270128343.048498,-18937461820.204063,21477718506.301056,126.5581
4,0.495605,2,19316112412.205376,-0.456865,19316112412.205376,9658056206.102688,1270128343.048498,-18045984069.156879,20586240755.253872,115.6380
5,0.437012,2,19203779024.519222,-2.962273,19203779024.519222,9601889512.259611,1270128343.048498,-17933650681.470726,20473907367.567719,114.2969
6,0.468262,2,13819751720.469570,-1.415983,13819751720.469570,6909875860.234785,1270128343.048498,-12549623377.421072,15089880063.518068,59.1918
7,0.491699,2,13560620228.752613,-0.535721,13560620228.752613,6780310114.376307,1270128343.048498,-12290491885.704115,14830748571.801111,56.9928
8,0.249023,4,11701753973.650640,-0.100612,11701753973.650640,5850876986.825320,1270128343.048498,-10431625630.602142,12971882316.699139,42.4388
9,0.483887,2,7563219776.622939,-0.455153,7563219776.622939,3781609888.311470,1270128343.048498,-6293091433.574441,8833348119.671436,17.7286
10,0.187012,5,7508020060.627509,3.011305,7508020060.627509,3754010030.313755,1270128343.048498,-6237891717.579011,8778148403.676006,17.4708
11,0.429199,2,7349493481.304748,-2.083541,7349493481.304748,3674746740.652374,1270128343.048498,-6079365138.256249,8619621824.353245,16.7408
12,0.218262,4,6737752342.958264,-1.855959,6737752342.958264,3368876171.479132,1270128343.048498,-5467623999.909766,8007880686.006763,14.0699
13,0.343262,2,6496410156.371866,2.372506,6496410156.371866,3248205078.185933,1270128343.048498,-5226281813.323368,7766538499.420364,13.0800
14,0.247559,4,6209683094.324491,0.675547,6209683094.324491,3104841547.162245,1270128343.048498,-4939554751.275992,7479811437.372989,11.9509
15,0.464355,2,6117505462.078531,-1.425091,6117505462.078531,3058752731.039266,1270128343.048498,-4847377119.030033,7387633805.127029,11.5987
16,0.421387,2,5409303138.298636,-3.061299,5409303138.298636,2704651569.149318,1270128343.048498,-4139174795.250138,6679431481.347135,9.0687
17,0.372559,2,5300962908.900403,0.000540,5300962908.900403,2650481454.450202,1270128343.048498,-4030834565.851905,6571091251.948901,8.7090
18,0.124023,8,4879568632.639807,1.142645,4879568632.639807,2439784316.319903,1270128343.048498,-3609440289.591309,6149696975.688305,7.3794
19,0.245605,4,4776986631.397580,0.083380,4776986631.397580,2388493315.698790,1270128343.048498,-3506858288.349082,6047114974.446078,7.0724
20,0.358887,2,4687736062.885936,-2.855007,4687736062.885936,2343868031.442968,1270128343.048498,-3417607719.837438,5957864405.934434,6.8106
