torus_id,frequency,period,amplitude,phase,major_radius,minor_radius,center_k,k_min,k_max,confidence
1,0.499023,2,42858255358.173363,-0.819097,42858255358.173363,21429127679.086681,1270128343.048498,-41588127015.124863,44128383701.221863,569.2852
2,0.497559,2,22379967732.905983,-0.140127,22379967732.905983,11189983866.452991,1270128343.048498,-21109839389.857487,23650096075.954479,155.2315
3,0.374512,2,20207590163.252560,1.942583,20207590163.252560,10103795081.626280,1270128343.048498,-18937461820.204063,21477718506.301056,126.5581
4,0.495605,2,19316112412.205376,-0.456865,19316112412.205376,9658056206.102688,1270128343.048498,-18045984069.156879,20586240755.253872,115.6380
5,0.437012,2,19203779024.519222,-2.962273,19203779024.519222,9601889512.259611,1270128343.048498,-17933650681.470726,20473907367.567719,114.2969
