iteration,estimated_k,error_min,error_max
0,966589682.600000,15223998.000000,1875150613.000000
1,1175263144.100000,84767640.000000,1629682858.000000
2,1233989357.550000,11426355.000000,1538315445.000000
3,1254678946.950000,27511370.000000,1496946855.000000
4,1263153434.500000,45267744.000000,1477076423.000000
5,1266939266.450000,52039016.000000,1467386991.000000
6,1268710137.050000,50440308.000000,1462644709.000000
7,1269558102.900000,49677024.000000,1460321642.000000
8,1269968914.850000,49307836.000000,1459183416.000000
9,1270169092.700000,49128092.000000,1458625694.000000
10,1270266911.800000,49040295.000000,1458352412.000000
11,1270314778.700000,48997342.000000,1458218503.000000
12,1270338218.200000,48976310.000000,1458152888.000000
13,1270349699.850000,48966009.000000,1458120736.000000
14,1270355324.800000,48960962.000000,1458104982.000000
15,1270358081.000000,48958489.000000,1458097263.000000
16,1270359431.400000,48957278.000000,1458093480.000000
17,1270360093.200000,48956684.000000,1458091627.000000
18,1270360417.450000,48956393.000000,1458090719.000000
19,1270360576.450000,48956250.000000,1458090273.000000
20,1270360654.200000,48956181.000000,1458090055.000000
21,1270360692.350000,48956146.000000,1458089949.000000
22,1270360711.000000,48956130.000000,1458089896.000000
23,1270360720.100000,48956121.000000,1458089871.000000
24,1270360724.700000,48956117.000000,1458089858.000000
25,1270360726.900000,48956115.000000,1458089852.000000
26,1270360727.950000,48956114.000000,1458089849.000000
27,1270360728.250000,48956114.000000,1458089847.000000
28,1270360728.450000,48956114.000000,1458089847.000000
29,1270360728.500000,48956114.000000,1458089846.000000
30,1270360728.600000,48956114.000000,1458089846.000000
31,1270360728.600000,48956114.000000,1458089846.000000
32,1270360728.600000,48956114.000000,1458089846.000000
33,1270360728.600000,48956114.000000,1458089846.000000
34,1270360728.600000,48956114.000000,1458089846.000000
35,1270360728.600000,48956114.000000,1458089846.000000
36,1270360728.600000,48956114.000000,1458089846.000000
37,1270360728.600000,48956114.000000,1458089846.000000
38,1270360728.600000,48956114.000000,1458089846.000000
39,1270360728.600000,48956114.000000,1458089846.000000
40,1270360728.600000,48956114.000000,1458089846.000000
41,1270360728.600000,48956114.000000,1458089846.000000
42,1270360728.600000,48956114.000000,1458089846.000000
43,1270360728.600000,48956114.000000,1458089846.000000
44,1270360728.600000,48956114.000000,1458089846.000000
45,1270360728.600000,48956114.000000,1458089846.000000
46,1270360728.600000,48956114.000000,1458089846.000000
47,1270360728.600000,48956114.000000,1458089846.000000
48,1270360728.600000,48956114.000000,1458089846.000000
49,1270360728.600000,48956114.000000,1458089846.000000
50,1270360728.600000,48956114.000000,1458089846.000000
51,1270360728.600000,48956114.000000,1458089846.000000
