frequency,amplitude,phase,energy,percent_total
5,1270360728.600000,1.130973,806907959670623488.000000,11.11
7,1270360728.600000,1.121549,806907738946527872.000000,11.11
11,1270360728.600000,1.140398,806907081208182912.000000,11.11
13,1270360728.600000,1.143540,806906646371207936.000000,11.11
17,1270360728.600000,1.121549,806905571845202176.000000,11.11
19,1270360728.600000,1.134115,806904935594574080.000000,11.11
23,1270360728.600000,1.156106,806903475054309760.000000,11.11
29,1270360728.600000,1.184380,806900848435490816.000000,11.11
31,1270360728.600000,1.168672,806899866650197504.000000,11.11
