iteration,estimated_k,error_min,error_max
0,16622.800000,1708.000000,28516.000000
1,18951.450000,835.000000,26836.000000
2,19411.750000,763.000000,26554.000000
3,19549.250000,758.000000,26506.000000
4,19604.600000,757.000000,26498.000000
5,19629.700000,757.000000,26497.000000
6,19641.900000,757.000000,26497.000000
7,19647.750000,757.000000,26497.000000
8,19650.650000,757.000000,26497.000000
9,19652.000000,757.000000,26497.000000
10,19652.700000,757.000000,26497.000000
11,19653.000000,757.000000,26497.000000
12,19653.100000,757.000000,26497.000000
13,19653.250000,757.000000,26497.000000
14,19653.300000,757.000000,26497.000000
15,19653.300000,757.000000,26497.000000
16,19653.300000,757.000000,26497.000000
17,19653.300000,757.000000,26497.000000
18,19653.300000,757.000000,26497.000000
19,19653.300000,757.000000,26497.000000
20,19653.300000,757.000000,26497.000000
21,19653.300000,757.000000,26497.000000
22,19653.300000,757.000000,26497.000000
23,19653.300000,757.000000,26497.000000
24,19653.300000,757.000000,26497.000000
25,19653.300000,757.000000,26497.000000
26,19653.300000,757.000000,26497.000000
27,19653.300000,757.000000,26497.000000
28,19653.300000,757.000000,26497.000000
29,19653.300000,757.000000,26497.000000
30,19653.300000,757.000000,26497.000000
31,19653.300000,757.000000,26497.000000
32,19653.300000,757.000000,26497.000000
33,19653.300000,757.000000,26497.000000
34,19653.300000,757.000000,26497.000000
35,19653.300000,757.000000,26497.000000
36,19653.300000,757.000000,26497.000000
37,19653.300000,757.000000,26497.000000
38,19653.300000,757.000000,26497.000000
39,19653.300000,757.000000,26497.000000
40,19653.300000,757.000000,26497.000000
41,19653.300000,757.000000,26497.000000
42,19653.300000,757.000000,26497.000000
43,19653.300000,757.000000,26497.000000
44,19653.300000,757.000000,26497.000000
45,19653.300000,757.000000,26497.000000
46,19653.300000,757.000000,26497.000000
47,19653.300000,757.000000,26497.000000
48,19653.300000,757.000000,26497.000000
49,19653.300000,757.000000,26497.000000
50,19653.300000,757.000000,26497.000000
